total_nodes,max_depth,llm_tasks,leaf_count,area_count,avg_children_per_node,llm_task_ratio,result_coverage,case_id,file
25,2,25,19,5,4.0,1.0,1.0,CASE01,20250625_234915_CASE01_task_tree.json
20,2,20,14,5,3.1666666666666665,1.0,1.0,CASE02,20250625_234953_CASE02_task_tree.json
20,2,20,14,5,3.1666666666666665,1.0,1.0,CASE03,20250625_235037_CASE03_task_tree.json
26,2,26,19,6,3.5714285714285716,1.0,1.0,CASE04,20250625_235133_CASE04_task_tree.json
19,3,18,13,4,3.0,0.9473684210526315,1.0,CASE05,20250625_235220_CASE05_task_tree.json
27,2,27,21,5,4.333333333333333,1.0,1.0,CASE06,20250625_235321_CASE06_task_tree.json
20,2,20,14,5,3.1666666666666665,1.0,1.0,CASE07,20250625_235356_CASE07_task_tree.json
25,2,25,19,5,4.0,1.0,1.0,CASE08,20250625_235442_CASE08_task_tree.json
17,2,17,12,4,3.2,1.0,1.0,CASE09,20250625_235506_CASE09_task_tree.json
22,2,22,16,5,3.5,1.0,1.0,CASE10,20250625_235549_CASE10_task_tree.json
