total_nodes,max_depth,llm_tasks,leaf_count,area_count,avg_children_per_node,llm_task_ratio,result_coverage,case_id,file,ambiguity,abstraction,structure
22,2,22,16,5,3.5,1.0,1.0,CASE01,20250626_172110_CASE01_ORIG_task_tree.json,medium,conceptual,explorative
23,2,23,17,5,3.6666666666666665,1.0,1.0,CASE01,20250626_172152_CASE01_REPH_task_tree.json,medium,conceptual,explorative
26,3,25,19,5,3.5714285714285716,0.9615384615384616,1.0,CASE01,20250626_172248_CASE01_NOIS_task_tree.json,medium,conceptual,explorative
21,2,21,15,5,3.3333333333333335,1.0,1.0,CASE02,20250626_172337_CASE02_ORIG_task_tree.json,low,technical,procedural
23,3,23,16,5,3.142857142857143,1.0,1.0,CASE02,20250626_172425_CASE02_REPH_task_tree.json,low,technical,procedural
27,2,27,20,6,3.7142857142857144,1.0,1.0,CASE02,20250626_172601_CASE02_NOIS_task_tree.json,low,technical,procedural
22,2,22,16,5,3.5,1.0,1.0,CASE03,20250626_172652_CASE03_ORIG_task_tree.json,high,conceptual,explorative
18,3,18,12,4,2.8333333333333335,1.0,1.0,CASE03,20250626_172724_CASE03_REPH_task_tree.json,high,conceptual,explorative
24,2,24,18,5,3.8333333333333335,1.0,1.0,CASE03,20250626_172842_CASE03_NOIS_task_tree.json,high,conceptual,explorative
28,2,28,21,6,3.857142857142857,1.0,1.0,CASE04,20250626_172942_CASE04_ORIG_task_tree.json,medium,conceptual,procedural
29,2,29,22,6,4.0,1.0,1.0,CASE04,20250626_173040_CASE04_REPH_task_tree.json,medium,conceptual,procedural
32,2,32,24,7,3.875,1.0,1.0,CASE04,20250626_173652_CASE04_NOIS_task_tree.json,medium,conceptual,procedural
20,3,20,14,4,3.1666666666666665,1.0,1.0,CASE05,20250626_173839_CASE05_REPH_task_tree.json,medium,conceptual,procedural
18,3,17,12,4,2.8333333333333335,0.9444444444444444,1.0,CASE05,20250626_173917_CASE05_NOIS_task_tree.json,medium,conceptual,procedural
24,2,24,18,5,3.8333333333333335,1.0,1.0,CASE05,20250626_173753_CASE05_ORIG_task_tree.json,medium,conceptual,procedural
28,2,28,22,5,4.5,1.0,1.0,CASE06,20250626_174028_CASE06_ORIG_task_tree.json,medium,conceptual,explorative
23,2,23,17,5,3.6666666666666665,1.0,1.0,CASE06,20250626_174128_CASE06_REPH_task_tree.json,medium,conceptual,explorative
23,2,23,17,5,3.6666666666666665,1.0,1.0,CASE06,20250626_175312_CASE06_NOIS_task_tree.json,medium,conceptual,explorative
23,2,23,17,5,3.6666666666666665,1.0,1.0,CASE07,20250626_175357_CASE07_ORIG_task_tree.json,low,technical,procedural
26,3,25,19,5,3.5714285714285716,0.9615384615384616,1.0,CASE07,20250626_175446_CASE07_REPH_task_tree.json,low,technical,procedural
23,2,23,17,5,3.6666666666666665,1.0,1.0,CASE07,20250626_175540_CASE07_NOIS_task_tree.json,low,technical,procedural
24,3,23,16,5,2.875,0.9583333333333334,1.0,CASE08,20250626_175635_CASE08_ORIG_task_tree.json,medium,conceptual,procedural
22,3,22,15,5,3.0,1.0,1.0,CASE08,20250626_175717_CASE08_REPH_task_tree.json,medium,conceptual,procedural
25,3,24,18,5,3.4285714285714284,0.96,1.0,CASE08,20250626_175811_CASE08_NOIS_task_tree.json,medium,conceptual,procedural
14,2,14,9,4,2.6,1.0,1.0,CASE09,20250626_175832_CASE09_ORIG_task_tree.json,low,technical,procedural
20,2,20,14,5,3.1666666666666665,1.0,1.0,CASE09,20250626_175901_CASE09_REPH_task_tree.json,low,technical,procedural
17,2,17,12,4,3.2,1.0,1.0,CASE09,20250626_175939_CASE09_NOIS_task_tree.json,low,technical,procedural
24,2,24,18,5,3.8333333333333335,1.0,1.0,CASE10,20250626_180128_CASE10_REPH_task_tree.json,high,conceptual,explorative
26,4,26,18,5,3.125,1.0,1.0,CASE10,20250626_180048_CASE10_ORIG_task_tree.json,high,conceptual,explorative
25,2,25,19,5,4.0,1.0,1.0,CASE10,20250626_180230_CASE10_NOIS_task_tree.json,high,conceptual,explorative
